"id","code","acronym","name","subject_id:id"
"__import__.outcome_OPT2_01RA","OPT2_01RA","RA1","Reconeix l'estructura d'un programa informàtic, identificant i relacionant els elements propis del llenguatge de programació utilitzat.","__import__.subject_OPT2"
"__import__.outcome_OPT2_02RA","OPT2_02RA","RA2","Escriu i prova programes senzills, identificant i aplicant els fonaments de la programació orientada a objectes.","__import__.subject_OPT2"
"__import__.outcome_OPT2_03RA","OPT2_03RA","RA3","Escriu i depura codi, analitzant i utilitzant les estructures de control del llenguatge.","__import__.subject_OPT2"
"__import__.outcome_OPT2_04RA","OPT2_04RA","RA4","Desenvolupa programes organitzats en classes analitzant i aplicant els principis de la programació orientada a objectes.","__import__.subject_OPT2"
"__import__.outcome_OPT2_05RA","OPT2_05RA","RA5","Escriu programes que manipulin informació seleccionant i utilitzant tipus avançats de dades.","__import__.subject_OPT2"
"__import__.outcome_OPT1_01RA","OPT1_01RA","RA1","Interpretar, modelitzar i resoldre situacions de la vida quotidiana, pròpies de les matemàtiques i d'altres àmbits del coneixement aplicant diferents estratègies i formes de raonament per explorar procediments i obtenir solucions.","__import__.subject_OPT1"
"__import__.outcome_OPT1_02RA","OPT1_02RA","RA2","Adquirir habilitats d'organització, de planificació i de realització de les tasques escolars de forma estructurada i pautada per donar significat propi a allò que s'aprèn i relacionar el saber adquirit mitjançant tècniques i mètodes que millorin l'aprofitament del temps i l'autonomia en l'aprenentatge.","__import__.subject_OPT1"
"__import__.outcome_OPT1_03RA","OPT1_03RA","RA3","Comprendre, interpretar i analitzar, amb sentit crític i diferents propòsits de lectura, textos escrits i multimodals reconeixent-ne el sentit global i les idees principals i secundàries, identificant-ne la intenció de l'emissor i avaluant-ne la qualitat i fiabilitat.","__import__.subject_OPT1"
"__import__.outcome_OPT1_04RA","OPT1_04RA","RA4","Utilitza el pensament computacional, organitzant dades, descomponent en parts, reconeixent patrons, interpretant, modificant, generalitzant i creant algoritmes per modelitzar situacions i resoldre problemes de forma eficient.","__import__.subject_OPT1"
"__import__.outcome_OPT1_05RA","OPT1_05RA","RA5","Desenvolupar algorismes i aplicacions informàtiques en diferents entorns, aplicant els principis del pensament computacional i incorporant les tecnologies emergents, per resoldre problemes concrets, automatitzar processos i aplicar-los en sistemes de control o robòtica.","__import__.subject_OPT1"
"__import__.outcome_OPT3_01RA","OPT3_01RA","RA1","Desenvolupa serveis d'aplicacions del costat servidor, amb accés a dades i capacitat de desplegament, aplicant criteris de qualitat i seguretat.","__import__.subject_OPT3"
"__import__.outcome_OPT3_02RA","OPT3_02RA","RA2","Desenvolupa interfícies web interactives que consumeixen serveis externs, aplicant criteris d'usabilitat i accessibilitat.","__import__.subject_OPT3"
"__import__.outcome_OPT3_03RA","OPT3_03RA","RA3","Integra els components d'una aplicació fullstack, documentant-ne el desenvolupament i gestionant el projecte de manera col·laborativa.","__import__.subject_OPT3"
"__import__.outcome_OPT4_01RA","OPT4_01RA","RA1","Comptabilitza, en suport manual i en suport informàtic, els fets comptables derivats de les operacions de transcendència econòmica i financera d'una empresa.","__import__.subject_OPT4"
"__import__.outcome_OPT4_02RA","OPT4_02RA","RA2","Registra comptablement les operacions derivades del final de l'exercici econòmic a partir de la informació i documentació d'un cicle econòmic complet.","__import__.subject_OPT4"
"__import__.outcome_OPT4_03RA","OPT4_03RA","RA3","Confecciona els comptes anuals PGC PIME identificant, classificant i registrant adequadament els diferents tipus d'actius financers seguint la normativa comptable vigent.","__import__.subject_OPT4"
"__import__.outcome_OPT4_04RA","OPT4_04RA","RA4","Confecciona els comptes anuals PGC PIMES dels diferents tipus de passius financers, aplicant les normes comptables establertes.","__import__.subject_OPT4"
"__import__.outcome_OPT5_01RA","OPT5_01RA","RA1","Comptabilitza, en suport manual i en suport informàtic, els fets comptables derivats de les operacions de transcendència econòmica i financera d'una empresa.","__import__.subject_OPT5"
"__import__.outcome_OPT5_02RA","OPT5_02RA","RA2","Registra comptablement les operacions derivades del final de l'exercici econòmic a partir de la informació i documentació d'un cicle econòmic complet.","__import__.subject_OPT5"
"__import__.outcome_OPT5_03RA","OPT5_03RA","RA3","Confecciona els comptes anuals PGC PIME identificant, classificant i registrant adequadament els diferents tipus d'actius financers seguint la normativa comptable vigent.","__import__.subject_OPT5"
"__import__.outcome_OPT5_04RA","OPT5_04RA","RA4","Confecciona els comptes anuals PGC PIMES dels diferents tipus de passius financers, aplicant les normes comptables establertes.","__import__.subject_OPT5"
